name,price,sale_price,discount_percentage,website,rating,authenticity,url,image_url,description,availability,features
Artisan Coaster Set,₹600,₹500,17%,example.com,4.5,Verified,http://example.com/coasters,"https://shorturl.at/mNzOG,https://shorturl.at/wShqx",Eco-friendly table mat made from banana fibers.,In Stock,"Biodegradable, Water-resistant, Durable"
Brass Door Handle,₹2500,₹2200,12%,example.com,4.8,Verified,http://example.com/doorhandle,"data:image/jpeg;base64,/9j/4AAQSkZJRgABA",Vintage brass door handle with intricate carvings.,Limited Stock,"Polished brass, Sturdy, Elegant design"
Ceramic Oil Diffuser,₹1800,₹1500,17%,example.com,4.6,Verified,http://example.com/oildiffuser,https://rb.gy/x55eo2,Elegant ceramic oil diffuser for your home.,In Stock,"Hand-painted, Durable, Aromatherapy compatible"
Coconut Shell Candle Holder,₹800,,0%,example.com,4.6,Verified,http://example.com/candleholder,https://shorturl.at/xgbDR,Rustic candle holder made from coconut shells.,In Stock,"Eco-friendly, Unique design, Handcrafted"
Cotton Tote Bag,₹900,₹750,17%,example.com,4.7,Verified,http://example.com/totebag,https://rb.gy/fqmkvg,Stylish and durable cotton tote bag.,In Stock,"Lightweight, Spacious, Washable"
Decorative Wooden Clock,₹3500,₹3000,14%,example.com,4.9,Verified,http://example.com/clock,https://rb.gy/upeix9,Handcrafted wooden clock with intricate carvings.,Limited Stock,"Durable, Artistic, Battery-operated"
Embroidered Table Runner,₹1500,,0%,example.com,4.4,Verified,http://example.com/tablerunner,https://rb.gy/202n89,Elegant table runner with intricate embroidery.,In Stock,"Soft fabric, Machine washable, Decorative"
Handcarved Spice Box,₹2000,₹1700,15%,example.com,4.6,Verified,http://example.com/spicebox,https://shorturl.at/xE8cx,Traditional spice box with multiple compartments.,In Stock,"Sustainable, Durable, Food-safe"
Handmade Dreamcatcher,₹1200,,0%,example.com,4.5,Verified,http://example.com/dreamcatcher,http://example.com/dreamcatcher.jpg,Beautiful handmade dreamcatcher for your bedroom.,In Stock,"Unique design, Lightweight, Decorative"
Handwoven Table Cover,₹2500,₹2200,12%,example.com,4.7,Verified,http://example.com/tablecover,http://example.com/tablecover.jpg,Elegant handwoven table cover for your dining table.,In Stock,"Durable, Stylish, Handcrafted"
Jute Laptop Sleeve,₹1500,₹1300,13%,example.com,4.8,Verified,http://example.com/laptopsleeve,http://example.com/laptopsleeve.jpg,Eco-friendly jute laptop sleeve with padding.,In Stock,"Protective, Lightweight, Handmade"
Khadi Kurta,₹2000,,0%,example.com,4.5,Verified,http://example.com/khadikurta,http://example.com/khadikurta.jpg,Traditional khadi kurta for everyday wear.,In Stock,"Breathable fabric, Handwoven, Comfortable"
Leather Travel Wallet,₹2500,₹2300,8%,example.com,4.6,Verified,http://example.com/travelwallet,http://example.com/travelwallet.jpg,Premium leather travel wallet with multiple compartments.,In Stock,"Durable, Compact, Stylish"
Macrame Wall Hanging,₹1800,₹1500,17%,example.com,4.7,Verified,http://example.com/wallhanging,http://example.com/wallhanging.jpg,Stylish macrame wall hanging for your living room.,In Stock,"Hand-knotted, Artistic, Bohemian style"
Metal Planter Stand,₹3500,₹3000,14%,example.com,4.5,Verified,http://example.com/planterstand,http://example.com/planterstand.jpg,Durable metal planter stand for indoor plants.,Limited Stock,"Rust-proof, Sturdy, Decorative"
Organic Cotton Handkerchiefs,₹800,₹700,13%,example.com,4.8,Verified,http://example.com/handkerchiefs,http://example.com/handkerchiefs.jpg,Soft organic cotton handkerchiefs with elegant designs.,In Stock,"100% organic, Hypoallergenic, Washable"
Pattachitra Wooden Box,₹4500,₹4000,11%,example.com,4.9,Verified,http://example.com/woodenbox,http://example.com/woodenbox.jpg,Exquisite wooden box with Pattachitra artwork.,In Stock,"Hand-painted, Durable, Unique"
Recycled Glass Vase,₹1500,,0%,example.com,4.3,Verified,http://example.com/glassvase,http://example.com/glassvase.jpg,Stylish vase made from recycled glass.,In Stock,"Eco-friendly, Sleek design, Transparent"
Stone Flower Pot,₹2200,₹2000,9%,example.com,4.6,Verified,http://example.com/flowerpot,http://example.com/flowerpot.jpg,Elegant stone flower pot for your garden.,In Stock,"Durable, Handcrafted, Water-resistant"
Terracotta Baking Dish,₹2500,₹2200,12%,example.com,4.7,Verified,http://example.com/bakingdish,http://example.com/bakingdish.jpg,Traditional terracotta baking dish for your kitchen.,In Stock,"Oven-safe, Handmade, Durable"
Traditional Brass Urli,₹5000,₹4500,10%,example.com,4.9,Verified,http://example.com/urli,http://example.com/urli.jpg,Classic brass urli for home decor.,In Stock,"Polished brass, Artistic, Decorative"
Vintage Wooden Shelf,₹3500,,0%,example.com,4.4,Verified,http://example.com/shelf,http://example.com/shelf.jpg,Rustic wooden shelf for your living room.,Limited Stock,"Handcrafted, Sturdy, Spacious"
Weaving Loom Kit,₹1200,₹1100,8%,example.com,4.5,Verified,http://example.com/loomkit,http://example.com/loomkit.jpg,Beginner's weaving loom kit with easy instructions.,In Stock,"Portable, Handmade, Creative"
Woolen Blanket,₹3500,₹3000,14%,example.com,4.6,Verified,http://example.com/blanket,http://example.com/blanket.jpg,Warm woolen blanket with vibrant patterns.,In Stock,"Soft, Handwoven, Perfect for winter"
Wooden Mobile Stand,₹1200,₹1000,17%,example.com,4.6,Verified,http://example.com/mobilestand,http://example.com/mobilestand.jpg,Compact wooden mobile stand for your desk.,In Stock,"Handcrafted, Sturdy, Sleek design"
Wooden Serving Tray,₹2000,₹1800,10%,example.com,4.7,Verified,http://example.com/servingtray,http://example.com/servingtray.jpg,Hand-carved wooden tray for serving snacks.,In Stock,"Durable, Artistic, Lightweight"
Zari Embroidered Clutch,₹3000,₹2500,17%,example.com,4.8,Verified,http://example.com/clutch,http://example.com/clutch.jpg,Elegant clutch with intricate Zari embroidery.,Limited Stock,"Handcrafted, Stylish, Perfect for occasions"
